 Njbin | Nbbin | Nmumu |  Nee  | Nb/0b   | stat | MC stat | syst+ | syst- | sysKin | sysPur
 5-6  |   >=3    |   0.0  |0.0 | 0.00147839612328 | 1.00183654884 | 0.0 | 0.0 | 0.0 | 0.2 | 0.0766880888107
 5-6  |   >=3    |   0.0  |0.0 | 0.00342981843278 | 1.00183654884 | 0.0 | 0.0 | 0.0 | 0.2 | 0.0766880888107
 5-6  |   >=3    |   0.0  |0.0 | 0.00504178088158 | 1.00183654884 | 0.0 | 0.0 | 0.0 | 0.2 | 0.0766880888107
 5-6  |   >=3    |   0.0  |0.0 | 0.00379117787816 | 1.00183654884 | 0.0 | 0.0 | 0.0 | 0.2 | 0.0766880888107
 7-8  |    0     |   0.0  |1.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   5.0  |2.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   1.0  |1.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   0.0  |1.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   1.0  |3.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   1.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   6.0  |2.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   4.0  |2.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   0.0  |1.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   1.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 7-8  |    1     |   2.0  |0.0 | 0.475043565035 | 0.127807270671 | 0.0528014227872 | 0.00543188676238 | 0.162263169885 | 0.07 | 0.0384319229588
 7-8  |    1     |   3.0  |0.0 | 0.4517365098 | 0.127807270671 | 0.0528014227872 | 0.0121600339189 | 0.154090106487 | 0.07 | 0.0384319229588
 7-8  |    1     |   0.0  |0.0 | 0.516478300095 | 0.127807270671 | 0.0528014227872 | 0.0350845828652 | 0.176039591432 | 0.07 | 0.0384319229588
 7-8  |    1     |   0.0  |0.0 | 0.457366198301 | 0.127807270671 | 0.0528014227872 | 0.00784757733345 | 0.156093582511 | 0.07 | 0.0384319229588
 7-8  |    1     |   1.0  |2.0 | 0.462835103273 | 0.127807270671 | 0.0528014227872 | 0.0036973443348 | 0.158021822572 | 0.07 | 0.0384319229588
 7-8  |    1     |   0.0  |1.0 | 0.466969877481 | 0.127807270671 | 0.0528014227872 | 0.00058463512687 | 0.159467980266 | 0.07 | 0.0384319229588
 7-8  |    1     |   0.0  |0.0 | 0.464684873819 | 0.127807270671 | 0.0528014227872 | 0.00230212253518 | 0.158670023084 | 0.07 | 0.0384319229588
 7-8  |    1     |   1.0  |2.0 | 0.467218220234 | 0.127807270671 | 0.0528014227872 | 0.000398282136302 | 0.159554511309 | 0.07 | 0.0384319229588
 7-8  |    1     |   0.0  |3.0 | 0.468625694513 | 0.127807270671 | 0.0528014227872 | 0.000655867857859 | 0.160044282675 | 0.07 | 0.0384319229588
 7-8  |    1     |   0.0  |0.0 | 0.467921972275 | 0.127807270671 | 0.0528014227872 | 0.000129054038553 | 0.159799560905 | 0.07 | 0.0384319229588
 7-8  |    1     |   1.0  |0.0 | 0.465486973524 | 0.127807270671 | 0.0528014227872 | 0.00169847568031 | 0.158950462937 | 0.07 | 0.0384319229588
 7-8  |    1     |   1.0  |0.0 | 0.470685362816 | 0.127807270671 | 0.0528014227872 | 0.00219418341294 | 0.160758957267 | 0.07 | 0.0384319229588
 7-8  |    1     |   0.0  |0.0 | 0.461958885193 | 0.127807270671 | 0.0528014227872 | 0.004359732382 | 0.157714083791 | 0.07 | 0.0384319229588
 7-8  |    2     |   0.0  |0.0 | 0.174763455987 | 0.265222806815 | 0.0977398508317 | 0.243655264378 | 0.186017170548 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.137473627925 | 0.265222806815 | 0.0977398508317 | 0.242658182979 | 0.139589473605 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.241056501865 | 0.265222806815 | 0.0977398508317 | 0.24498860538 | 0.248096644878 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.146480828524 | 0.265222806815 | 0.0977398508317 | 0.242920011282 | 0.151784941554 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |1.0 | 0.155230686069 | 0.265222806815 | 0.0977398508317 | 0.243160918355 | 0.162998318672 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.161846071482 | 0.265222806815 | 0.0977398508317 | 0.243334829807 | 0.17109169066 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.158190205693 | 0.265222806815 | 0.0977398508317 | 0.24323952198 | 0.166658580303 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.162243455648 | 0.265222806815 | 0.0977398508317 | 0.243344992399 | 0.171567797661 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |1.0 | 0.164495244622 | 0.265222806815 | 0.0977398508317 | 0.243402451277 | 0.174244850874 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.163369342685 | 0.265222806815 | 0.0977398508317 | 0.243373781443 | 0.172910749912 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.159473538399 | 0.265222806815 | 0.0977398508317 | 0.243273288012 | 0.168225750327 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.167790561914 | 0.265222806815 | 0.0977398508317 | 0.243485197425 | 0.178099319339 | 0.1 | 0.0766880888107
 7-8  |    2     |   0.0  |0.0 | 0.153828814626 | 0.265222806815 | 0.0977398508317 | 0.243123203516 | 0.161241695285 | 0.1 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0352116152644 | 1.00183654884 | 0.178858591745 | 0.129243195057 | 0.37112224102 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0262090470642 | 1.00183654884 | 0.178858591745 | 0.213818639517 | 0.296560794115 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0512161850929 | 1.00183654884 | 0.178858591745 | 0.0542262420058 | 0.437256872654 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0283835809678 | 1.00183654884 | 0.178858591745 | 0.188237711787 | 0.319112807512 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0304959844798 | 1.00183654884 | 0.178858591745 | 0.167037680745 | 0.337802708149 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.032093077898 | 1.00183654884 | 0.178858591745 | 0.152940630913 | 0.35023060441 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0312104765326 | 1.00183654884 | 0.178858591745 | 0.160544902086 | 0.343526691198 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |1.0 | 0.0321890152991 | 1.00183654884 | 0.178858591745 | 0.152140304446 | 0.350936233997 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0327326469123 | 1.00183654884 | 0.178858591745 | 0.14769718051 | 0.354853212833 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0324608311057 | 1.00183654884 | 0.178858591745 | 0.149899363518 | 0.352911770344 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |1.0 | 0.0315202958882 | 1.00183654884 | 0.178858591745 | 0.157825052738 | 0.345924586058 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0335282087326 | 1.00183654884 | 0.178858591745 | 0.141465425491 | 0.360347121954 | 0.2 | 0.0766880888107
 7-8  |   >=3    |   0.0  |0.0 | 0.0301575418562 | 1.00183654884 | 0.178858591745 | 0.170225456357 | 0.334992438555 | 0.2 | 0.0766880888107
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
