 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) |ZgR(REr1,+RErUp-RErLow) |f(ferr) |purityTimesFrag(pErr)| DR(+DRup-DRlow)| Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 36 : 49.305( 0.137)|40.933 |8.373 |40.0 |30.0| 0.952(0.106) |10.0| 0.926(0.08) |0.555(0.141,+0.053-0.048) |0.92(0.0) |0.872(0.013)| 1.0(+0.0-0.0)| 19.301(+0.328-0.328,+0.151-0.149)
 37 : 10.233( 0.302)|9.303 |0.93 |7.0 |5.0| 0.952(0.106) |2.0| 0.926(0.08) |0.708(0.307,+0.053-0.048) |0.92(0.0) |0.874(0.026)| 1.0(+0.0-0.0)| 4.311(+0.614-0.614,+0.313-0.312)
 38 : 6.512( 0.378)|6.512 |0.0 |3.0 |3.0| 0.952(0.106) |0.0| 0.926(0.08) |0.66(0.386,+0.053-0.048) |0.92(0.0) |0.876(0.028)| 1.0(+0.0-0.0)| 1.734(+1.387-1.387,+0.391-0.39)
 39 : 2.791( 0.577)|2.791 |0.0 |4.0 |1.0| 0.957(0.024) |3.0| 0.877(0.03) |0.92(0.62,+0.053-0.048) |0.92(0.0) |0.881(0.02)| 1.0(+0.0-0.0)| 3.038(+0.658-0.658,+0.622-0.622)
 40 : 5.582( 0.408)|4.651 |0.93 |9.0 |7.0| 0.957(0.024) |2.0| 0.877(0.03) |0.669(0.416,+0.053-0.048) |0.92(0.0) |0.868(0.013)| 1.0(+0.0-0.0)| 5.204(+0.576-0.576,+0.419-0.419)
 41 : 1.861( 0.707)|0.93 |0.93 |10.0 |6.0| 0.949(0.052) |4.0| 0.904(0.028) |1.51(0.713,+0.053-0.048) |0.92(0.0) |0.852(0.075)| 1.0(+0.0-0.0)| 12.934(+0.244-0.244,+0.719-0.719)
 42 : 9.303( 0.316)|8.373 |0.93 |11.0 |6.0| 0.949(0.052) |5.0| 0.904(0.028) |0.606(0.323,+0.053-0.048) |0.92(0.0) |0.869(0.015)| 1.0(+0.0-0.0)| 5.696(+0.582-0.582,+0.327-0.327)
 43 : 2.791( 0.577)|0.93 |1.861 |0.0 |0.0| 0.952(0.106) |0.0| 0.926(0.08) |0.187(0.608,+0.053-0.048) |0.92(0.0) |0.86(0.0)| 1.0(+0.0-0.0)| 0.0(+0.442-0.442,+0.61-0.61)
 44 : 4.651( 0.447)|3.721 |0.93 |4.0 |4.0| 0.952(0.106) |0.0| 0.926(0.08) |0.696(0.456,+0.053-0.048) |0.92(0.0) |0.871(0.046)| 1.0(+0.0-0.0)| 2.44(+1.068-1.068,+0.461-0.46)
 45 : 0.93( 1.0)|0.93 |0.0 |0.0 |0.0| 0.952(0.106) |0.0| 0.926(0.08) |0.366(1.032,+0.053-0.048) |0.92(0.0) |0.876(0.0)| 1.0(+0.0-0.0)| 0.0(+0.865-0.865,+1.033-1.033)
 46 : 0.0( 1.67)|0.0 |0.0 |0.0 |0.0| 0.952(0.106) |0.0| 0.926(0.08) |23.563(0.0,+0.053-0.048) |0.92(0.0) |1.0(0.0)| 1.0(+0.0-0.0)| 0.0(+55.65-55.65,+0.053-0.048)
