DR | DR cv error | DR shape up | DR shape down | 0b purity | purity error | trig eff | trig eff error | lepton SF | lepton SF error | btag SF | btag SF error |
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.132 | 0.0829 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.132 | 0.0829 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.132 | 0.0829 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.132 | 0.0829 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.132 | 0.0829 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.132 | 0.0829 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.132 | 0.0829 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.132 | 0.1116 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1987 | 0.1289 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1987 | 0.1289 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1987 | 0.1289 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1987 | 0.1289 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1987 | 0.1289 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1987 | 0.1289 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1987 | 0.1289 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1987 | 0.1289 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 

